Term Name,MainClass,GeneHitsInSelectedSet,AllGenesInSelectedSet,GeneHitsInBackground,AllGenesInBackground,p-value,enrichFactor,GeneListInSelectedSets,padj_BH
A09100 Metabolism,A09100 Metabolism,91,203,1420,6737,1.10E-14,2.126784847,"[TOC.5T.01452, TOC.7T.00286, TOC.4T.01290, TOC.4T.00080, TOC.5T.00282, TOC.5T.01338, TOC.5T.00841, TOC.2T.01695, TOC.9T.00682, TOC.6T.00007, TOC.6T.00565, TOC.8T.00682, TOC.4T.00881, TOC.1T.01973, TOC.1T.02348, TOC.1T.00526, TOC.7T.00092, TOC.5T.01341, TOC.5T.01540, TOC.5T.01461, TOC.3T.00053, TOC.9T.00615, TOC.1T.01185, TOC.3T.00254, TOC.7T.01185, TOC.3T.01067, TOC.2T.01043, TOC.1T.02232, TOC.9T.00014, TOC.5T.01587, TOC.8T.00870, TOC.2T.01765, TOC.5T.00411, TOC.7T.01189, TOC.3T.00458, TOC.5T.00813, TOC.9T.01194, TOC.2T.01608, TOC.1T.01549, TOC.3T.01828, TOC.1T.00737, TOC.4T.00879, TOC.1T.01507, TOC.3T.01903, TOC.8T.01039, TOC.5T.00581, TOC.6T.01155, TOC.5T.01350, TOC.5T.00264, TOC.4T.00581, TOC.4T.00141, TOC.4T.00582, TOC.5T.00582, TOC.5T.00142, TOC.6T.01274, TOC.4T.01071, TOC.3T.02161, TOC.3T.01113, TOC.9T.00780, TOC.2T.01032, TOC.7T.00468, TOC.7T.00467, TOC.3T.02167, TOC.5T.00664, TOC.7T.01234, TOC.1T.01515, TOC.1T.02209, TOC.5T.00306, TOC.7T.00192, TOC.1T.00906, TOC.7T.00510, TOC.7T.00034, TOC.5T.01681, TOC.7T.00076, TOC.8T.00537, TOC.7T.00439, TOC.4T.00532, TOC.6T.00416, TOC.3T.00672, TOC.7T.00438, TOC.4T.00698, TOC.7T.00317, TOC.7T.01240, TOC.4T.00655, TOC.1T.02376, TOC.5T.00431, TOC.2T.02116, TOC.1T.02377, TOC.9T.00430, TOC.3T.02179, TOC.2T.01700]",3.39E-12
00199 Cytochrome P450,A09180 Brite Hierarchies,20,203,128,6737,1.03E-09,5.185498768,"[TOC.8T.01039, TOC.5T.00581, TOC.3T.02096, TOC.3T.02141, TOC.9T.00349, TOC.5T.00582, TOC.3T.00471, TOC.3T.00482, TOC.3T.02093, TOC.8T.00835, TOC.3T.01997, TOC.7T.00467, TOC.9T.00353, TOC.7T.00794, TOC.1T.01889, TOC.3T.00469, TOC.1T.00927, TOC.8T.00818, TOC.8T.00817, TOC.8T.00819]",1.58E-07
B  09101 Carbohydrate metabolism,A09100 Metabolism,31,203,384,6737,3.57E-07,2.679174364,"[TOC.5T.01350, TOC.7T.00286, TOC.5T.00142, TOC.5T.00282, TOC.5T.01338, TOC.9T.00780, TOC.8T.00682, TOC.5T.00664, TOC.1T.02209, TOC.1T.00906, TOC.5T.01341, TOC.5T.01540, TOC.7T.00076, TOC.3T.00053, TOC.7T.00439, TOC.3T.00672, TOC.7T.00438, TOC.1T.01185, TOC.4T.00698, TOC.3T.00254, TOC.7T.00317, TOC.1T.02376, TOC.3T.01067, TOC.5T.00431, TOC.8T.00870, TOC.1T.02377, TOC.2T.01765, TOC.5T.00411, TOC.7T.01189, TOC.9T.00430, TOC.3T.01828]",3.67E-05
B  09105 Amino acid metabolism,A09100 Metabolism,22,203,229,6737,1.22E-06,3.188289199,"[TOC.6T.01155, TOC.7T.00510, TOC.5T.01681, TOC.6T.01274, TOC.9T.00615, TOC.3T.02161, TOC.3T.00672, TOC.5T.00841, TOC.1T.01185, TOC.9T.00682, TOC.4T.00655, TOC.6T.00007, TOC.5T.00431, TOC.6T.00565, TOC.3T.02167, TOC.4T.00881, TOC.5T.00664, TOC.7T.01189, TOC.9T.00430, TOC.5T.00813, TOC.5T.00306, TOC.4T.00879]",9.37E-05
00350 Tyrosine metabolism,A09100 Metabolism,8,203,29,6737,1.47E-06,9.155087481,"[TOC.5T.01681, TOC.5T.00813, TOC.5T.00306, TOC.4T.00879, TOC.3T.02161, TOC.9T.00682, TOC.6T.00007, TOC.3T.02167]",9.08E-05
00983 Drug metabolism - other enzymes,A09100 Metabolism,12,203,119,6737,2.26E-04,3.346607609,"[TOC.1T.02348, TOC.2T.01700, TOC.7T.00286, TOC.3T.01828, TOC.7T.00192, TOC.2T.01695, TOC.7T.00092, TOC.7T.00317, TOC.7T.01240, TOC.9T.00014, TOC.8T.00682, TOC.7T.01234]",0.011610467
B  09111 Xenobiotics biodegradation and metabolism,A09100 Metabolism,13,203,150,6737,5.56E-04,2.876223317,"[TOC.7T.00286, TOC.4T.00080, TOC.2T.01695, TOC.7T.00317, TOC.7T.01240, TOC.9T.00014, TOC.8T.00682, TOC.7T.01234, TOC.1T.02348, TOC.2T.01700, TOC.3T.01828, TOC.7T.00192, TOC.7T.00092]",0.024482113
00030 Pentose phosphate pathway,A09100 Metabolism,6,203,38,6737,8.57E-04,5.240082966,"[TOC.5T.01341, TOC.5T.01350, TOC.1T.02209, TOC.5T.01338, TOC.5T.00431, TOC.5T.00664]",0.03300434
B  09103 Lipid metabolism,A09100 Metabolism,23,203,379,6737,9.75E-04,2.013998466,"[TOC.7T.00034, TOC.4T.00581, TOC.4T.00141, TOC.7T.00286, TOC.4T.00582, TOC.5T.00142, TOC.4T.01290, TOC.4T.00080, TOC.4T.01071, TOC.7T.00439, TOC.4T.00532, TOC.6T.00416, TOC.7T.00438, TOC.7T.00317, TOC.2T.01032, TOC.2T.01043, TOC.1T.02232, TOC.8T.00682, TOC.5T.00411, TOC.7T.01189, TOC.1T.01973, TOC.3T.01828, TOC.1T.00737]",0.033365901
00981 Insect hormone biosynthesis,A09100 Metabolism,5,203,27,6737,0.001111058,6.145776318,"[TOC.8T.01039, TOC.5T.00581, TOC.5T.00582, TOC.7T.00468, TOC.7T.00467]",0.034220596
B  09108 Metabolism of cofactors and vitamins,A09100 Metabolism,14,203,195,6737,0.002177058,2.382670203,"[TOC.5T.01452, TOC.7T.00286, TOC.5T.01461, TOC.8T.00537, TOC.7T.00439, TOC.7T.00438, TOC.7T.00317, TOC.5T.01587, TOC.8T.00682, TOC.9T.00430, TOC.3T.02179, TOC.1T.02348, TOC.3T.01828, TOC.4T.00879]",0.060957629
B  09183 Protein families: signaling and cellular processes,A09180 Brite Hierarchies,68,203,1658,6737,0.002397708,1.361115238,"[TOC.9T.00643, TOC.7T.00087, TOC.9T.00649, TOC.5T.00282, TOC.9T.00648, TOC.6T.00007, TOC.1T.00683, TOC.6T.00565, TOC.6T.00720, TOC.8T.00682, TOC.4T.01057, TOC.1T.00963, TOC.3T.01812, TOC.1T.01932, TOC.5T.00967, TOC.3T.00528, TOC.3T.01383, TOC.1T.01583, TOC.5T.00530, TOC.1T.02476, TOC.4T.01003, TOC.3T.01422, TOC.6T.00716, TOC.2T.01608, TOC.6T.00915, TOC.7T.01071, TOC.4T.00879, TOC.6T.00913, TOC.7T.01072, TOC.5T.00261, TOC.5T.00142, TOC.6T.01274, TOC.7T.01074, TOC.1T.01991, TOC.3T.00226, TOC.8T.01035, TOC.1T.01794, TOC.1T.01552, TOC.6T.00346, TOC.5T.01632, TOC.8T.01036, TOC.3T.01439, TOC.3T.00108, TOC.1T.02328, TOC.1T.02209, TOC.5T.00306, TOC.4T.00901, TOC.1T.00704, TOC.7T.00035, TOC.2T.01064, TOC.4T.01269, TOC.2T.02077, TOC.1T.02376, TOC.1T.01363, TOC.3T.00512, TOC.3T.01248, TOC.1T.02377, TOC.3T.01369, TOC.3T.02179, TOC.3T.01368, TOC.2T.01625, TOC.4T.00815, TOC.4T.00816, TOC.2T.01623, TOC.4T.00817, TOC.2T.02316, TOC.2T.01624, TOC.4T.00811]",0.06154116
B  09154 Digestive system,A09150 Organismal Systems,20,203,336,6737,0.002634615,1.975428102,"[TOC.4T.00581, TOC.7T.00286, TOC.4T.00582, TOC.7T.00087, TOC.5T.00282, TOC.4T.00532, TOC.9T.00780, TOC.7T.00317, TOC.2T.02077, TOC.1T.01583, TOC.9T.00784, TOC.1T.02476, TOC.3T.01248, TOC.8T.00682, TOC.3T.01422, TOC.3T.01439, TOC.1T.01549, TOC.3T.01828, TOC.6T.00913, TOC.3T.01903]",0.062420098
00520 Amino sugar and nucleotide sugar metabolism,A09100 Metabolism,6,203,47,6737,0.002662943,4.236662824,"[TOC.7T.00076, TOC.3T.00053, TOC.3T.00254, TOC.3T.01067, TOC.8T.00870, TOC.2T.01765]",0.058584736
"04928 Parathyroid hormone synthesis, secretion and action",A09150 Organismal Systems,7,203,63,6737,0.002691322,3.687465791,"[TOC.6T.00905, TOC.1T.01549, TOC.3T.01903, TOC.3T.00528, TOC.9T.00780, TOC.3T.01369, TOC.3T.01368]",0.055261816
"00260 Glycine, serine and threonine metabolism",A09100 Metabolism,6,203,49,6737,0.003299503,4.06373781,"[TOC.6T.01274, TOC.1T.01185, TOC.5T.00431, TOC.6T.00565, TOC.5T.00664, TOC.9T.00430]",0.063515436
00830 Retinol metabolism,A09100 Metabolism,7,203,67,6737,0.003823333,3.46731858,"[TOC.5T.01452, TOC.7T.00286, TOC.5T.01461, TOC.3T.01828, TOC.7T.00317, TOC.5T.01587, TOC.8T.00682]",0.069269801
